Time, OriginalValue, NewValue 
0.0, 0.8288421052631578, 0.8285598581104412
0.26015226604387653, 0.8965212687068644, 0.9016430579319249
0.4030867120505788, 0.9913202865021611, 0.9804464578626094
0.4751263672277326, 1.0545858473004441, 1.050591737956797
0.5489661224395999, 1.1302040162010614, 1.1338175393774355
0.6244716828693451, 1.2188047407747336, 1.226567522591022
0.7011969370846793, 1.3205169159271724, 1.3278149751078612
0.778574817838701, 1.435018495048712, 1.4385879566035626
0.856006668217983, 1.561586601163941, 1.5606793212645067
0.8945580386634197, 1.62907243277697, 1.6263907814325584
0.9329044714925259, 1.6991476380813368, 1.6952669957077025
0.9709772938356084, 1.7716314390360708, 1.767211616388876
1.0087102795424503, 1.846327401542897, 1.8420156510769947
1.0460397626024216, 1.9230250014196646, 1.9193660123540948
1.082904700200091, 2.001501190373772, 1.9988610536590254
1.119246702901412, 2.081521961975592, 2.0800306357811484
1.1550100445607456, 2.162843917631898, 2.1623583662541512
1.1901416610530706, 2.2452158325592935, 2.2453039606772496
1.224591144456177, 2.328380221757632, 2.3283241039251883
1.258607173694559, 2.412074905983447, 2.4116213194888374
1.2925808852155225, 2.4960345777233783, 2.4958047428013774
1.326587059908674, 2.5799923671675957, 2.5807352724966117
1.3605227090993783, 2.663681408183227, 2.665834250625424
1.3942860105011565, 2.7468364042877838, 2.750533981992125
1.4277770195347472, 2.829195194622586, 2.83429324860248
1.4608983967577531, 2.9105003199261885, 2.916610369892736
1.4935561545894993, 2.9905005885078104, 2.997033341098191
1.525660427136403, 3.0689526422207534, 3.075166887014181
1.5571262676082505, 3.1456225224358363, 3.150676540324335
1.587874478524775, 3.2202872360148165, 3.2232900671584184
1.6180700662476808, 3.292736321283818, 3.2933427443563725
1.6479451055383163, 3.3627734140067504, 3.361319942065742
1.6774823457730714, 3.430217813358751, 3.4271352957445407
1.7065834689758042, 3.4949060478995904, 3.49054764321935
1.7351491689553367, 3.556693441547118, 3.5513479941302557
1.7902780719628817, 3.671090374464505, 3.664441353631592
1.8421070358604665, 3.7726866176052507, 3.7654239667988643
1.889965728457672, 3.861161124492071, 3.853869727752785
1.9333644712631448, 3.9366439078256867, 3.929944144135213
1.9721028025844844, 3.9997661506344677, 3.99442771108169
2.0063822160737557, 4.051710317424055, 4.048720134199547
