Time, Rotation
0.0, 0.0
0.17697198766050654, -0.025987537931790917
0.250972555337559, -0.08967269031854314
0.30857009861888895, -0.17212188458527058
0.357860901595431, -0.25929143460174275
0.40173595768343273, -0.34249137802840984
0.44138417048575923, -0.4174885059110176
0.4772321332792606, -0.48301950377872643
0.5093322798893318, -0.5394437362695756
0.537567289716308, -0.587836813876992
0.5624801814211057, -0.6294946991804103
0.6033359479572169, -0.6977244547493785
0.6291360729478849, -0.75328264247576
0.641503119575649, -0.7853981633974794
0.6538698679148047, -0.8175201935762717
0.6796672313882774, -0.8730981811900885
0.7205168854180971, -0.9413501682870926
0.7452494083187788, -0.9830191614616534
0.7725326053887237, -1.0314226465596719
0.8022671981644153, -1.0878555451212135
0.833941812196229, -1.1533918297715728
0.8670231796074671, -1.2283886394350634
0.9009151091862886, -1.3115803180443621
0.9348501587987811, -1.3987325382735805
0.9677324187619175, -1.4811576327014218
0.9985896133110359, -1.5448194293650865
1.0274305897939509, -1.570796326794884
1.056272620314097, -1.5967838647266877
1.0871328008025773, -1.66046901711344
1.1200191165679574, -1.7429182113801676
1.1539586513670714, -1.83008776139664
1.187855297063996, -1.913287704823308
1.2209416155112964, -1.9882848327059164
1.2526214100366904, -2.0538158305736265
1.2823612967630793, -2.1102400630644773
1.3096496700965892, -2.1586331406718964
1.334386471831514, -2.200291025975319
1.3752422383676466, -2.2685207815443027
1.4010423633583309, -2.32407896927074
1.4134094099860997, -2.3561944901926157
1.425776158325253, -2.388316520371167
1.4515735217987256, -2.443894507984983
1.4924231758285451, -2.5121464950819865
1.5171556987292263, -2.553815488256547
1.5444388957991713, -2.602218973354565
1.5741734885748628, -2.658651871916107
1.6058481026066767, -2.7241881565664663
1.6389294700179142, -2.7991849662299577
1.672821399596736, -2.8823766448392565
1.7067564492092284, -2.969528865068477
1.7396387091723648, -3.051953959496319
1.7704959037214831, -3.1156157561599884
1.7993372474401075, -3.1415926535897873
1.828179920494122, 3.115604831694183
1.8590402573180769, 3.051916604555969
1.8919262675968238, 2.969458544448714
1.9258653288458811, 2.882273988645351
1.9597611821122964, 2.7990549043652013
1.9928462676530807, 2.724037184440023
2.024524376438378, 2.6584863387130073
2.0542622170132057, 2.602044422974589
2.0815483318287944, 2.553636685277177
2.106277660411328, 2.5119678295922063
2.1471109290544366, 2.4437317165742236
2.1728959515606525, 2.388211968902248
2.185255689901462, 2.3561944901921983
2.197615428242272, 2.324177011482397
2.2234004507484784, 2.268657263810455
2.264233719391573, 2.2004211507924802
2.2889630479741023, 2.1587522951075115
2.316249162789691, 2.110344557410101
2.3459870033645194, 2.0539026416716837
2.3776651121498165, 1.988351795944669
2.410750197690601, 1.9133340760194917
2.444646050957016, 1.8301149917393413
2.4785851122060727, 1.74293043593598
2.511471122484819, 1.660472375828726
2.542331459308773, 1.5967841486905139
2.571174132362784, 1.5707963267949059
2.600016805416797, 1.5448085048992866
2.630877142240752, 1.4811202777610724
2.663763152519499, 1.3986622176538173
2.697702213768556, 1.3114776618504542
2.7315980670349713, 1.2282585775703039
2.764683152575756, 1.1532408576451256
2.796361261361053, 1.0876900119181099
2.826099101935881, 1.0312480961796913
2.85338521675147, 0.9828403584822797
2.878114545334002, 0.9411715027973085
2.918947813977106, 0.8729353897793285
2.9447328364833196, 0.8174156421073624
2.9570925748241295, 0.7853981633973461
2.969452313164933, 0.7533806846875004
2.9952373356711397, 0.6978609370155581
3.0360706043142343, 0.6296248239975831
3.060975454175836, 0.587955968312614
3.089206869585379, 0.5395482306152026
3.1213029901403537, 0.4831063148767843
3.157146670647855, 0.4175554691497677
3.196790582309546, 0.3425377492245881
3.240661615429879, 0.2593186649444345
3.289949006816365, 0.17213410914106778
3.3475440618704293, 0.0896760490338093
3.4215432589888874, 0.025987821895588514
3.5985149120516815, -2.806088694740217E-14
