Time, OriginalCurvature, NewCurvature, x, y
0.0, 0.0, 0.0, 0.8288421052631578, 2.375226438188495
0.26015226604387653, 0.04142682402628972, 0.04142682402628972, 0.8965212687068644, 2.3752982364873994
0.4030867120505788, 0.0031157664409118195, 0.0031157664409118195, 0.9913202865021611, 2.375656801034655
0.4751263672277326, -0.007197314676413136, -0.007197314676413136, 1.0545858473004441, 2.3759338475616065
0.5489661224395999, -0.01286579234751915, -0.01286579234751915, 1.1302040162010614, 2.3762274160583576
0.6244716828693451, -0.016020811696445588, -0.016020811696445588, 1.2188047407747336, 2.3764780674599377
0.7011969370846793, -0.01796742379614198, -0.01796742379614198, 1.3205169159271724, 2.3766108858629136
0.778574817838701, -0.0194263499234765, -0.0194263499234765, 1.435018495048712, 2.376537880103766
0.856006668217983, -0.020798491984504067, -0.020798491984504067, 1.561586601163941, 2.376160385337279
0.8945580386634197, -0.021531540436107235, -0.021531540436107235, 1.62907243277697, 2.375824294240742
0.9329044714925259, -0.022327600781280665, -0.022327600781280665, 1.6991476380813368, 2.375371464614915
0.9709772938356084, -0.023207275035942828, -0.023207275035942828, 1.7716314390360708, 2.3747876308340414
1.0087102795424503, -0.024190320920196202, -0.024190320920196202, 1.846327401542897, 2.374058310463204
1.0460397626024216, -0.025296757529165586, -0.025296757529165586, 1.9230250014196646, 2.3731688793076517
1.082904700200091, -0.026547833942406274, -0.026547833942406274, 2.001501190373772, 2.372104646462122
1.119246702901412, -0.027966942255200834, -0.027966942255200834, 2.081521961975592, 2.3708509293601665
1.1550100445607456, -0.02958054348107838, -0.02958054348107838, 2.162843917631898, 2.369393128823475
1.1901416610530706, -0.031419168742611504, -0.031419168742611504, 2.2452158325592935, 2.367716804111201
1.224591144456177, -0.03351855809612749, -0.03351855809612749, 2.328380221757632, 2.3658077479692827
1.258607173694559, -0.03592100478076592, -0.03592100478076592, 2.412074905983447, 2.363652061679773
1.2925808852155225, -0.03867698376470662, -0.03867698376470662, 2.4960345777233783, 2.361236230110159
1.326587059908674, -0.04184716086579228, -0.04184716086579228, 2.5799923671675957, 2.3585471967626885
1.3605227090993783, -0.04550490373833826, -0.04550490373833826, 2.663681408183227, 2.355572438823695
1.3942860105011565, -0.04973945062481123, -0.04973945062481123, 2.7468364042877838, 2.3523000422129208
1.4277770195347472, -0.0546599397862282, -0.0546599397862282, 2.829195194622586, 2.3487187766328432
1.4608983967577531, -0.06040056578008626, -0.06040056578008626, 2.9105003199261885, 2.3448181706179962
1.4935561545894993, -0.06712721329386502, -0.06712721329386502, 2.9905005885078104, 2.3405885865842984
1.525660427136403, -0.07504603146893701, -0.07504603146893701, 3.0689526422207534, 2.3360212958783744
